Dropsite name,Code,Days,Number of Days,Dropsite Window,Street,City,State,Zip,Dropsite Contact,Contact Phone,Contact E-mail,,
Arlington Public Library,APL,M&Th,2,12:00-1:00,500 W. First St.,Arlington,Oregon,97812,Amy Bendtsen,(541) 705-2555,arlingtonpubliclibraryor97812@gmail.com,,
Astoria Public Library,AST,Tu&Th,2,11:00-12:00,450 10th St.,Astoria,Oregon,97103,Meghann Lynch,(503) 325-7323,mlynch@astoria.gov,,
Baker County Library,BCL,M-F,5,12:00-1:00,2400 Resort St,Baker City,Oregon,97814,Heather Spry,(541) 523-6419,hspry@bakerlib.org,,
Central Oregon Community College,COCC,M-F,5,10:00-11:00,Library; 2600 NW College Way,Bend,Oregon,97703,Emily Moxley,(541) 383-7425,emoxley@cocc.edu,,
Central Washington University,CWU,M-F,5,9:30-10:30,Brooks Library - Loading Dock; 500 E Dean Nicholson Blvd.,Ellensburg,Washington,98926,Tom Dell,(509) 963-2107,thomas.dell@cwu.edu,,
Chemeketa Community College,CHEMEK,M-F,5,11:30 to 12:30,Library - Building 9;  4000 Lancaster Drive NE,Salem,Oregon,97305,Tricia Bender,(503) 399-5216,tricia.bender@chemeketa.edu,,
Clackamas Community College,CLCKM,M-F,5,10:45-11:45,"Library, Dye Learning Center; 19600 Molalla Avenue",Oregon City,Oregon,97045,Karina Young,503-594-3314,karina.young@clackamas.edu,,
Clark College,CLARK,M-F,5,8:30-9:30,Clark College Libraries - LIB 112; 1933 Fort Vancouver Way,Vancouver,Washington,98661,Amanda Brown,(360) 992-2299,abrown@clark.edu,,
Clatsop Community College,CLTSP,Tu&Th,2,11:00-12:00,Library; 1680 Lexington Ave.,Astoria,Oregon,97103,Kristi Polus,(503) 338-2462,ill@clatsopcc.edu,,
Coos County Library Service District,COOS,M-F,5,11:00-12:00,525 Anderson,Coos Bay,Oregon,97459,Mia Robertson,(541) 269-1101 X3632,ill@cclsd.org / mrobertson@coastlinelibrarynetwork.org,,
Deschutes Public Library,DPL,M-F,5,10:00-11:00,"61956 SE Santorini St Bend, OR 97702",Bend,Oregon,97703,Alyssa Bennett,(541) 617-7054,ill@deschuteslibrary.org,,
Eastern Oregon University,EOU,M-F,5,10:00-11:00,Library; One University Blvd,La Grande,Oregon,97850,Jeff McDonald,(541) 962-3735,jmcdonal@eou.edu,,
Eastern Washington University,EWU,M-F,5,9:00-10:00,JFK Library; 320 Media Lane; 100 Library,Cheney,Washington,99004,Todd Campbell,(509) 359-2819,mcampbell26@ewu.edu,,
Fort Vancouver Regional Library,FVRL,Tu&Th,2,8:30-9:30,2018 Grand Blvd,Vancouver,Washington,98661,Barrie Olmstead,(360) 906-4991,bolmstead@fvrl.org,,
George Fox University,GFOX,M-F,5,12:30-1:30,Murdock Learning Resource Center; 416 North Meridian St.,Newberg,Oregon,97132,Sarah Willhite,(503) 554-2412,lwillhite@georgefox.edu,,
Gonzaga University,GONZ,M-F,5,11:30-12:30,Foley Library; Mailing: 502 E Boone Ave.; Actual: 621 E Cataldo Way,Spokane,Washington,99258,Kaitlin Cushman,(509) 313-3813,cushman@gonzaga.edu / ill@gonzaga.edu,,
Grant County Library,GCL,Tu&Th,2,1:30-2:30,507 SW Canyon Blvd,John Day,Oregon,97845,Dovie Wood,(541) 575-1992,grantcirc@ortelco.net,,
Harney County Library,HCL,Tu&F,2,12:30-1:30,80 West D St.,Burns,Oregon,97220,Cheryl Hancock,(541) 573-6670,harneycl@harneycountylibrary.org,,
Hood River County Library District,HRCLD,M-F,5,10:30-11:30,502 State St,Hood River,Oregon,97031,Alex Ljungqvist,(541) 387-7067,alex@hoodriverlibrary.org,,
Intermountain ESD,IESD,M-F,5,9:30-10:30,724 Airport Rd,Pendleton,Oregon,97801,Fred Phillips,(541) 966-3204,Fred.Phillips@imesd.k12.or.us,,
